date,Lines of code (LOC),Python files,LOC / Python files,production file,test file,class,function,@dataclass,list,tuple,dictionary,function_definition,class_definition,def,identifier,default_parameter,dictionary_splat_pattern,list_splat_pattern,no,return_statement,yield,if_statement,for_statement,try_statement,while_statement,with_statement,conditional_expression,list_comprehension,for_in_clause,raise_statement,import_from_statement,import_statement,future_import_statement,dictionary_comprehension,set,keyword_separator,set_comprehension,typed_default_parameter,yes,typed_parameter,comment,positional_separator
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,32035,245,130.75510204081633,195,50,71.2,17.2,0,1191,534,117,1099,180,1099,1538,772,74,20,1099,711,164,902,334,74,14,3,6,101,129,140,673,462,5,0,0,0,0,0,0,0,0,0
2012,67364,398,169.25628140703517,310,88,84.3,21.0,0,1957,1388,195,1971,289,1971,2582,1795,70,29,1971,1198,178,1828,690,129,31,26,54,196,256,395,1454,753,9,0,0,0,0,0,0,0,0,0
2013,92961,458,202.97161572052403,349,109,95.2,20.5,0,3211,2154,269,2754,338,2754,3383,2445,85,38,2754,1547,176,2535,969,179,37,79,84,254,365,595,2164,982,21,0,0,0,0,0,0,0,0,0
2014,123340,532,231.8421052631579,398,134,94.6,20.4,0,4836,2949,399,3822,436,3822,4766,2962,106,56,3822,2150,302,3487,1429,290,49,102,103,344,528,803,2912,1129,65,0,0,0,0,0,0,0,0,0
2015,145401,572,254.19755244755245,437,135,98.5,21.2,0,6465,3406,438,4425,478,4425,5521,3364,119,67,4425,2437,316,4135,1713,306,60,140,124,361,562,967,3576,1224,92,3,0,0,0,0,0,0,0,0
2016,180685,644,280.5667701863354,492,152,105.0,21.7,0,8304,4116,643,5465,557,5465,6704,3982,136,82,5465,2995,470,5092,2260,385,64,178,165,455,701,1188,4551,1373,109,5,0,0,0,0,0,0,0,0
2017,198488,680,291.8941176470588,521,159,106.2,21.7,0,9246,4568,719,6056,598,6056,7375,4273,141,80,6056,3256,508,5495,2488,409,65,215,197,492,766,1302,4856,1468,121,5,0,0,0,0,0,0,0,0
2018,209872,680,308.63529411764705,515,165,109.2,21.9,0,10111,4949,763,6355,612,6355,7470,4337,158,90,6355,3244,522,5498,2631,409,57,234,211,526,825,1288,5071,1474,125,15,2,0,0,0,0,0,0,0
2019,231412,738,313.56639566395665,563,175,106.0,21.5,0,11719,5658,821,7108,697,7108,8961,4553,180,104,7108,3741,348,6346,2476,514,90,414,269,567,903,1469,5374,1805,143,32,21,1,2,0,0,0,0,0
2020,248798,768,323.9557291666667,568,200,113.6,22.1,0,14383,6687,1052,7486,655,7486,9809,4689,162,81,7485,3670,352,6128,2519,327,62,1151,341,681,1046,1453,5426,1769,5,58,52,5,2,1,1,0,0,0
2021,280479,838,334.70047732696895,620,218,116.1,21.7,0,16758,7595,1382,8443,722,8443,11460,4943,181,103,8426,4042,400,6707,2638,322,59,1558,410,728,1129,1565,6190,1920,5,61,61,453,3,10,17,47,0,0
2022,332839,896,371.4720982142857,662,234,129.2,23.5,1,18444,8560,1699,9229,778,9229,12714,5287,211,111,9146,4435,438,7313,2746,335,62,2523,464,832,1271,1656,6418,2086,5,69,65,483,3,31,83,89,0,0
2023,356839,903,395.17054263565893,663,240,129.6,24.0,1,21174,8862,2143,9613,841,9613,13684,5515,208,109,9533,4690,460,7697,2838,353,63,2377,556,910,1372,1492,6837,2143,5,78,394,515,4,32,80,83,4,0
2024,385258,927,415.59654800431497,684,243,128.3,24.0,1,23746,9190,2695,10303,898,10303,15337,5818,273,115,10221,5024,508,8118,2946,373,62,2521,628,965,1475,1514,5675,2211,5,97,524,553,5,36,82,85,4,1
2025,404721,932,434.25,682,250,128.0,24.7,9,24954,9584,3038,10520,910,10520,15651,5916,314,118,10435,5060,524,8121,2983,349,48,2745,676,994,1519,1478,5970,2213,2,107,538,595,8,49,85,98,1,2
2026,430259,987,435.9260385005066,730,257,128.4,24.8,9,26236,10189,3274,11202,949,11202,16585,6074,348,112,10815,5674,554,8934,3099,368,56,2853,788,1047,1646,1619,6312,2333,25,127,554,737,11,393,387,593,20,179
